state,pv_pot,ofw_pot,onw_pot,y,x
RO,8657234.9226,0.0,74635.6655,-11.266269832857144,-62.56154761142857
AC,1561562.844,0.0,31793.5572,-9.058333327142858,-70.76313491428571
AM,2906074.7666,0.0,233461.2325,-3.8591666584615383,-63.13025640115385
RR,6716752.8268,0.0,69354.2808,2.7474073966666666,-60.52879629
PA,21280071.6655,229091.5375,263084.2901,-4.201547610571429,-50.47236507142858
AP,997387.295,131293.0561,12213.0916,1.2777777725,-51.294722215
TO,14762247.2085,0.0,96145.6569,-10.030249993,-48.29065277
MA,16458072.6656,118188.9129,116413.1418,-4.756836411666666,-45.23807098111112
PI,17048979.2564,11172.913,105898.918,-7.055386465652174,-42.848780185217386
CE,11940469.2406,109487.4235,72982.8912,-5.012777768125,-39.42251735375
RN,4435060.609,36387.8671,27809.2153,-4.89598765,-35.74592591777778
PB,5627832.0691,11386.5914,33726.5604,-7.163765424444445,-36.50737653444444
PE,9367003.0345,10242.2263,56663.3289,-8.38561965076923,-37.65215811153846
AL,2537545.9044,9454.9429,16161.0096,-9.656666658571428,-36.58238094428572
SE,1938500.659,6891.1897,12690.0611,-10.67408729285714,-37.440714275714285
BA,43969682.99,92179.8293,285636.179,-12.724571752708334,-40.76313656625
MG,41844074.7495,0.0,306360.4714,-18.55978662768116,-44.81366343884058
ES,3075770.6692,61633.4179,23402.5272,-19.84856837,-40.65002136
RJ,2057362.3372,35292.7192,17349.2537,-22.51591563111111,-43.07405349333334
SP,12416038.5176,29249.8304,114305.0695,-23.862441852790692,-48.94331394581395
PR,8282385.7396,18668.1513,93208.6651,-24.67018517703704,-51.538930032962966
SC,2927164.9776,25926.5885,36796.5947,-27.31391202833333,-50.452905086250006
RS,13284925.6099,114073.5736,143959.0914,-29.713876536222223,-52.92782715244445
MS,19619761.2955,0.0,155795.9506,-21.082604932,-54.440537028444446
MT,39726612.2385,0.0,359775.7155,-13.561160962051284,-55.81537748615385
GO,24395317.7528,0.0,181230.9862,-16.30851495076923,-49.46158118923077
DF,275.8423,0.0,0.0,-15.786388882,-47.875555546
